season,team,conference,name,number,class,position,height,hometown,high_school,bats,throws,gp,gs,ba,ob_pct,slg_pct,ab,r,h,x2b,x3b,tb,hr,ibb,bb,sb,sba,hbp,rbi,sf,sh,k,kl,dp,gdp,tp,cs,picked,go,fo
2024,St. Thomas (MN),Summit League,Ella Cook,27,Jr.,SP/RP,5-11,"Iowa City, IA",City,RIGHT,RIGHT,39,39,0.295,0.35,0.58,112,12,33,8,0,65,8,0,9,1,1,1,35,1,1,18,4,1,0,0,0,0,23,36
2024,St. Thomas (MN),Summit League,Maddie Grad,2,Sr.,C,5-3,"Bismarck, ND",St. Mary's,,,20,13,0.212,0.3,0.455,33,6,7,2,0,15,2,0,5,0,0,0,10,2,0,11,6,0,0,0,0,0,10,6
2024,St. Thomas (MN),Summit League,Kameron Monson,15,So.,C,5-9,"Woodbury, MN",Woodbury,RIGHT,RIGHT,21,19,0.209,0.424,0.302,43,2,9,4,0,13,0,0,14,2,3,2,0,0,1,9,2,0,0,0,1,0,8,17
2024,St. Thomas (MN),Summit League,Miki Snider,13,Jr.,INF,5-11,"Hampshire, IL",,,,14,1,0.1,0.25,0.1,10,2,1,0,0,1,0,0,1,3,3,1,0,0,0,3,1,0,0,0,0,0,2,4
2024,St. Thomas (MN),Summit League,Jenna Kuhn,14,Jr.,3B,5-7,"Apple Valley, MN",Eastview,RIGHT,RIGHT,6,1,0.2,0.429,0.2,5,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
2024,St. Thomas (MN),Summit League,Morgan Klein,21,So.,SP/RP,5-8,"Burlington, WI",Burlington,RIGHT,RIGHT,43,41,0.259,0.346,0.384,112,17,29,2,0,43,4,0,14,3,3,1,17,0,0,37,9,0,0,0,0,0,16,29
2024,St. Thomas (MN),Summit League,Kaitlyn Raymond,10,Jr.,OF,5-3,"Chicago, IL",Loyola Academy,LEFT,RIGHT,49,49,0.322,0.373,0.397,146,32,47,5,3,58,0,0,10,13,17,2,8,0,3,22,15,1,0,0,4,0,31,43
2024,St. Thomas (MN),Summit League,Anna Caruso,1,So.,UT,5-5,"St. Paul, MN",Cretin-Derham Hall,RIGHT,RIGHT,14,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0,NA
2024,St. Thomas (MN),Summit League,Brooke Betson,8,Sr.,OF,5-4,"Regina, Canada",Martin Collegiate,,,11,5,0.313,0.313,0.563,16,2,5,2,1,9,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,5,2
2024,St. Thomas (MN),Summit League,Keira Murphy,12,So.,SP/RP,5-10,"Stillwater, MN",Stillwater Area,RIGHT,RIGHT,11,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2024,St. Thomas (MN),Summit League,Abbi Stierlen,23,So.,INF,5-9,"North Mankato, MN",Mankato West,,,44,44,0.211,0.323,0.368,114,14,24,3,0,42,5,0,19,1,1,0,21,0,2,22,9,1,1,0,0,0,39,28
2024,St. Thomas (MN),Summit League,Avery Wukawitz,20,So.,OF,5-8,"Woodbury, MN",East Ridge,RIGHT,RIGHT,40,40,0.304,0.392,0.568,125,30,38,10,1,71,7,0,14,14,15,4,16,0,1,32,9,0,0,0,1,0,24,29
2024,St. Thomas (MN),Summit League,Christina Crawford,9,Jr.,SP/RP,6-2,"Elkhorn, WI",Elkhorn,RIGHT,RIGHT,36,29,0.244,0.34,0.489,45,6,11,2,0,22,3,0,7,0,0,0,12,1,0,13,5,1,1,0,0,0,6,15
2024,St. Thomas (MN),Summit League,Sydney Mickett,7,Sr.,INF,5-3,"Prior Lake, MN",Prior Lake,,,46,46,0.156,0.24,0.178,45,3,7,1,0,8,0,0,3,0,0,2,2,0,3,8,4,2,1,0,0,0,15,17
2024,St. Thomas (MN),Summit League,Cassidy Carby,25,Jr.,C,5-7,"Batavia, IL",Batavia,RIGHT,RIGHT,49,49,0.259,0.344,0.407,135,18,35,5,0,55,5,0,18,2,4,0,23,1,1,41,9,2,1,0,2,0,25,32
2024,St. Thomas (MN),Summit League,Adrianna Young,3,Jr.,C,5-6,"Stone Lake, WI",Rice Lake,RIGHT,RIGHT,19,12,0.241,0.343,0.345,29,5,7,3,0,10,0,0,5,0,0,0,4,1,1,10,4,1,0,0,0,0,6,8
2024,St. Thomas (MN),Summit League,Kenzie Miller,4,Sr.,OF,5-4,"Chanhassen, MN",Chanhassen,,,42,35,0.227,0.281,0.352,88,11,20,2,0,31,3,0,5,5,6,2,16,1,1,23,7,0,0,0,1,0,22,22
2024,St. Thomas (MN),Summit League,Laken Lienhard,11,Jr.,UT,5-7,"Cresco, IA",Crestwood,RIGHT,RIGHT,50,50,0.278,0.419,0.376,133,26,37,11,1,50,0,0,30,1,1,3,17,1,3,20,3,3,2,0,0,0,38,37
2024,St. Thomas (MN),Summit League,Ruby Moore,5,So.,UT,5-3,"South Range, WI",,LEFT,RIGHT,28,4,0,0.5,0,1,11,0,0,0,0,0,0,1,4,7,0,0,0,0,1,0,0,0,0,3,0,0,NA
2024,St. Thomas (MN),Summit League,Izzy Vick,17,Fr.,OF,5-9,"Selah, WA",Selah,LEFT,LEFT,9,2,0,0.333,0,6,1,0,0,0,0,0,0,3,0,1,0,1,0,0,3,1,0,0,0,1,0,2,1
2024,St. Thomas (MN),Summit League,Karina Tollberg,18,Fr.,UT,5-7,"Chanhassen, MN",Chanhassen,RIGHT,RIGHT,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,St. Thomas (MN),Summit League,Loryn Barney,6,Fr.,UT,5-9,"Lewiston, ID",Lewiston,LEFT,LEFT,5,4,0.273,0.273,0.364,11,1,3,1,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,NA
2024,St. Thomas (MN),Summit League,Marleigh Louvar,28,Fr.,UT,5-4,"Brandon, IA",Independence,RIGHT,RIGHT,15,1,0.167,0.267,0.25,12,1,2,1,0,3,0,0,2,0,0,0,1,1,1,5,4,0,0,0,0,0,6,1
2024,St. Thomas (MN),Summit League,Kyllie Weingart,26,Fr.,UT,5-8,"Bloomington, MN",Maranatha Christian,RIGHT,RIGHT,8,7,0.067,0.125,0.133,15,1,1,1,0,2,0,0,1,0,0,0,0,0,0,6,1,1,0,0,0,0,3,5
2024,N.C. Central,MEAC,Ashanti Eubanks,16,Jr.,SP/RP,5-5,"Summerville, SC",Ashley Ridge HS,RIGHT,RIGHT,29,13,0,0.182,0,9,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0,0,0,0,2,2
2024,N.C. Central,MEAC,Jai'lyn Edwards,23,Jr.,OF,5-6,"Rancho Cucamonga, CA",Rancho Cucamonga HS,RIGHT,LEFT,37,34,0.252,0.296,0.336,107,11,27,3,0,36,2,0,6,2,4,1,11,1,5,23,1,1,0,0,2,0,34,27
2024,N.C. Central,MEAC,Jaden Davis,42,Jr.,UT,5-4,"Knightdale, NC",Knightdale HS,RIGHT,RIGHT,47,44,0.209,0.274,0.284,67,11,14,2,0,19,1,0,5,1,3,1,5,0,3,7,1,0,0,0,2,0,22,25
2024,N.C. Central,MEAC,Jaidyn Hamby,1,Jr.,UT,5-4,"Fontana, CA",Jurupa Hills HS,RIGHT,RIGHT,26,22,0.089,0.086,0.089,56,2,5,0,0,5,0,0,0,0,0,0,3,2,1,15,5,2,1,0,0,0,11,26
2024,N.C. Central,MEAC,Kia Borum,20,Jr.,UT,5-3,"Detroit, MI",University Liggett School,LEFT,RIGHT,29,4,0.167,0.231,0.25,12,10,2,1,0,3,0,0,1,2,2,0,1,0,0,7,0,0,0,0,0,0,1,2
2024,N.C. Central,MEAC,Samaria Jackson,3,Fr.,INF,5-5,"Highland Springs, VA",Highland Springs HS,RIGHT,RIGHT,39,38,0.127,0.225,0.19,63,6,8,2,1,12,0,0,8,0,0,0,4,0,4,28,4,1,0,0,0,0,12,17
2024,N.C. Central,MEAC,Hailey Batista,2,Sr.,UT,5-5,"Mebane, NC",Eastern Alamance HS,RIGHT,RIGHT,50,45,0.264,0.333,0.496,125,19,33,8,0,62,7,0,7,1,1,7,22,2,5,26,3,1,1,0,0,0,30,41
2024,N.C. Central,MEAC,D'Nahjah Harrell,22,Sr.,OF,5-6,"Mooresville, NC",Mooresville Senior HS,RIGHT,RIGHT,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2024,N.C. Central,MEAC,Makiya Graves,11,So.,UT,5-7,"Mebane, NC",Eastern Alamance HS,RIGHT,RIGHT,49,40,0.287,0.363,0.341,129,17,37,7,0,44,0,0,13,1,1,3,10,1,0,9,4,0,0,0,0,0,40,38
2024,N.C. Central,MEAC,Nyla Rodgers,10,So.,UT,5-6,"Greenville, NC",South Central HS,RIGHT,RIGHT,17,11,0.143,0.217,0.143,21,1,3,0,0,3,0,0,2,0,0,0,1,0,0,7,2,0,0,0,0,0,7,3
2024,N.C. Central,MEAC,Imara Harrell,14,Sr.,OF,5-6,"Mooresville, NC",Mooresville Senior HS,RIGHT,RIGHT,42,32,0.278,0.364,0.392,97,11,27,7,2,38,0,0,9,5,8,4,15,0,4,12,2,2,1,0,3,0,20,37
2024,N.C. Central,MEAC,Natalie Hardin,18,Sr.,OF,5-3,"Winston Salem, NC",Robert B. Glenn HS,LEFT,RIGHT,10,1,0,0.333,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA
2024,N.C. Central,MEAC,Ivory Jones,4,Sr.,OF,5-3,"Douglasville, GA",Chapel Hill HS,RIGHT,RIGHT,41,34,0.204,0.3,0.333,93,14,19,6,0,31,2,0,6,1,2,8,14,3,3,20,3,3,2,0,1,0,20,35
2024,N.C. Central,MEAC,Maegan Garrison,7,Sr.,3B,5-4,"Harrisburg, NC",Hickory Ridge HS,RIGHT,RIGHT,20,20,0.105,0.121,0.193,57,5,6,2,0,11,1,0,1,0,0,0,4,0,0,21,3,1,0,0,0,0,13,15
2024,N.C. Central,MEAC,Jaylah Barr,19,Sr.,SS,5-7,"Batesburg Leesville, SC",Batesburg-Leesville HS,RIGHT,RIGHT,55,54,0.333,0.398,0.506,156,16,52,9,0,79,6,0,17,0,0,1,33,2,1,24,6,1,1,0,0,0,19,59
2024,N.C. Central,MEAC,Takia Nichols,55,So.,1B,5-5,"Hillsborough, NC",Cedar Ridge HS,RIGHT,RIGHT,40,34,0.282,0.441,0.376,85,2,24,5,0,32,1,0,25,0,1,0,8,1,0,24,7,2,1,0,1,0,18,18
2024,N.C. Central,MEAC,Adriana Person,8,Fr.,INF,5-0,"Virginia Beach, VA",Tallwood HS,RIGHT,RIGHT,21,16,0.214,0.313,0.262,42,5,9,0,1,11,0,0,5,1,1,1,0,0,1,9,4,0,0,0,0,0,8,14
2024,N.C. Central,MEAC,Kendall Smith,9,Fr.,OF,5-2,"Fuquay Varina, NC",Fuquay-Varina HS,LEFT,LEFT,43,41,0.331,0.378,0.476,124,12,41,3,3,59,3,0,9,5,8,1,13,1,5,24,7,0,0,0,3,0,31,29
2024,N.C. Central,MEAC,Xenna Tompkins,12,Fr.,SP/RP,5-8,"Braselton, GA",Homeschooled,LEFT,LEFT,18,12,0.286,0.375,0.286,7,0,2,0,0,2,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,1
2024,N.C. Central,MEAC,Cameron Frye,13,Fr.,INF,5-2,"Raleigh, NC",Corinth Holders HS,LEFT,LEFT,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
